GROUPVEG,EVT,ACRES
Past  Conifer,Agricultural,7339
Past  Conifer,Conifer,2335342
Past  Conifer,Conifer-Hardwood,149650
Past  Conifer,Developed,19842
Past  Conifer,Developed,28297
Past  Conifer,Exotic,23892
Past  Conifer,Grassland,29383
Past  Conifer,Hardwood,140858
Past  Conifer,Riparian,14374
Past  Conifer,Shrubland,263614
Past  Conifer,Sparsely Vegetated,34369
Past  Grassland,Agricultural,11139
Past  Grassland,Conifer,32807
Past  Grassland,Conifer-Hardwood,1986
Past  Grassland,Developed,2487
Past  Grassland,Developed,5993
Past  Grassland,Exotic,14850
Past  Grassland,Grassland,29425
Past  Grassland,Hardwood,11760
Past  Grassland,Riparian,4422
Past  Grassland,Shrubland,70503
Past  Grassland,Sparsely Vegetated,426
Past  Hardwood,Agricultural,12950
Past  Hardwood,Conifer,214993
Past  Hardwood,Conifer-Hardwood,95433
Past  Hardwood,Developed,11697
Past  Hardwood,Developed,22132
Past  Hardwood,Exotic,40366
Past  Hardwood,Grassland,61310
Past  Hardwood,Hardwood,729939
Past  Hardwood,Riparian,7238
Past  Hardwood,Shrubland,349594
Past  Hardwood,Sparsely Vegetated,8614
Past  Hardwood-Conifer,Agricultural,189
Past  Hardwood-Conifer,Conifer,577998
Past  Hardwood-Conifer,Conifer-Hardwood,309881
Past  Hardwood-Conifer,Developed,4655
Past  Hardwood-Conifer,Developed,16439
Past  Hardwood-Conifer,Exotic,8207
Past  Hardwood-Conifer,Grassland,62556
Past  Hardwood-Conifer,Hardwood,462509
Past  Hardwood-Conifer,Riparian,6365
Past  Hardwood-Conifer,Shrubland,130876
Past  Hardwood-Conifer,Sparsely Vegetated,14583
Past  Perennial Ice/Snow,Snow-Ice,92
Past  Riparian,Agricultural,47537
Past  Riparian,Conifer,122442
Past  Riparian,Conifer-Hardwood,21973
Past  Riparian,Developed,13813
Past  Riparian,Developed,21115
Past  Riparian,Exotic,7767
Past  Riparian,Grassland,7975
Past  Riparian,Hardwood,58588
Past  Riparian,Riparian,70302
Past  Riparian,Shrubland,39107
Past  Riparian,Sparsely Vegetated,12206
Past  Shrubland,Agricultural,182361
Past  Shrubland,Conifer,1238096
Past  Shrubland,Conifer-Hardwood,31834
Past  Shrubland,Developed,55256
Past  Shrubland,Developed,115515
Past  Shrubland,Exotic,190112
Past  Shrubland,Grassland,106580
Past  Shrubland,Hardwood,176206
Past  Shrubland,Riparian,37113
Past  Shrubland,Shrubland,1891585
Past  Shrubland,Sparsely Vegetated,8613
Past  Sparse,Agricultural,867
Past  Sparse,Conifer,2417
Past  Sparse,Conifer-Hardwood,172
Past  Sparse,Developed,48
Past  Sparse,Developed,182
Past  Sparse,Exotic,192
Past  Sparse,Grassland,1607
Past  Sparse,Hardwood,843
Past  Sparse,Riparian,2454
Past  Sparse,Shrubland,711
Past  Sparse,Sparsely Vegetated,162430
